Borough,Primary Property Type - Self Selected,Largest Property Use Type - Gross Floor Area (sqft),Year Built,Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Electricity Use - Grid Purchase (kBtu)
Manhattan,Office,731541,1961,Not Available,Not Available,Not Available,Not Available,Not Available,14857197,,59720669.5
Manhattan,Multifamily Housing,243634,1896,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4173399.8,2629294.1
Manhattan,Multifamily Housing,152715,2005,Not Available,Not Available,Not Available,Not Available,Not Available,5020635.4,41357.5,15119785.4
Manhattan,College/University,127145,1985,Not Available,Not Available,Not Available,Not Available,Not Available,3668293.9,,8988579.1
Manhattan,Hotel,56790,2010,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2527568.2
Manhattan,Financial Office,93818,1910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2665449.3
Manhattan,Multifamily Housing,80000,1973,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2847200.2
Manhattan,Multifamily Housing,223674,1981,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21851499,4589480.1
Manhattan,Hospital (General Medical & Surgical),340155,1953,Not Available,Not Available,Not Available,Not Available,Not Available,65779498.2,723734,38778096.3
Manhattan,Multifamily Housing,73779,1901,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4470812.6,1606653.7
Manhattan,Multifamily Housing,147722,1896,Not Available,Not Available,Not Available,Not Available,Not Available,7316497.6,,9259154.1
Manhattan,Multifamily Housing,100369,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6143538,1502098.9
Manhattan,College/University,128572,1905,Not Available,Not Available,Not Available,Not Available,Not Available,2065873.9,,6102716.7
Manhattan,College/University,628399,1964,Not Available,Not Available,Not Available,Not Available,Not Available,47367242.3,721890.3,28271504
Manhattan,Multifamily Housing,478888,1960,Not Available,Not Available,Not Available,Not Available,Not Available,29820148.4,1925850,6304280.7
Manhattan,Office,908960,1913,Not Available,Not Available,Not Available,Not Available,Not Available,13430530.2,8569847.9,44854835.5
Manhattan,Office,213484,1926,Not Available,6693347.8,Not Available,Not Available,Not Available,Not Available,229634.8,8291870.9
Manhattan,Office,566245,1963,Not Available,Not Available,Not Available,Not Available,Not Available,32077105.4,,26994367.2
Manhattan,Office,978871,1958,Not Available,Not Available,Not Available,Not Available,Not Available,28884391.4,,43984243.6
Manhattan,Multifamily Housing,145000,1921,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5936995.9,3609742.9
Manhattan,Multifamily Housing,625000,1964,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7570095.8,14312950.6
Manhattan,Office,371686,1985,Not Available,Not Available,Not Available,Not Available,Not Available,6924030.1,,38704225.6
Manhattan,Financial Office,1149222,1983,Not Available,Not Available,Not Available,Not Available,Not Available,33955387.4,456233.3,72500042.2
Manhattan,Office,197510,1927,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,11558743.7
Manhattan,Multifamily Housing,138550,1986,Not Available,6508784,Not Available,Not Available,Not Available,Not Available,,6301595.5
Manhattan,Multifamily Housing,46332,2001,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2358558.9,1662064
Manhattan,Multifamily Housing,100810,1915,Not Available,3781724.2,Not Available,Not Available,Not Available,Not Available,1276997,2537278.6
Manhattan,Multifamily Housing,121028,1900,Not Available,3783681.2,Not Available,Not Available,Not Available,Not Available,261028.3,3938796.6
